sp	genus	species	family	grform	repsize	breedsys	maxht
CNEMPE	Cyathea	petiolata	Cyatheaceae	S	1	*	4
COCCCO	Coccoloba	coronata	Polygonaceae	M	8	D	13
COCCMA	Coccoloba	manzinellensis	Polygonaceae	U	10	D	13
COLUGL	Colubrina	glandulosa	Rhamnaceae	T	30	B	20
CONOBR	Conostegia	bracteata	Melastomataceae	S	1	B	4
CONOCI	Conostegia	cinnamomea	Melastomataceae	S	1	B	4
CORDAL	Cordia	alliodora	Boraginaceae	T	20	B	25
CORDBI	Cordia	bicolor	Boraginaceae	M	16	B	14
CORDLA	Cordia	lasiocalyx	Boraginaceae	M	10	B	4
COU2CU	Coussarea	curvigemmia	Rubiaceae	U	3	B	10
COUTHE	Coutarea	hexandra	Rubiaceae	U	-1	B	-1
CROTBI	Croton	billbergianus	Euphorbiaceae	U	5	M	10
CUPACI	Cupania	cinerea	Sapindaceae	M	16	P	8
CUPALA	Cupania	latifolia	Sapindaceae	T	30	P	20
CUPARU	Cupania	rufescens	Sapindaceae	T	20	P	15
CUPASY	Cupania	sylvatica	Sapindaceae	U	5	P	8
CYPHHA	Solanum	circinatum	Solanaceae	S	2	B	-1
DENDAR	Dendropanax	arboreus	Araliaceae	T	30	B	20
DES2PA	Desmopsis	panamensis	Annonaceae	U	3	B	6
DIO2AR	Diospyros	artanthifolia	Ebenaceae	M	16	D	15
DIPTPA	Dipteryx	oleifera	Fabaceae:Papil.	T	30	B	40
DRYPST	Drypetes	standleyi	Euphorbiaceae	T	20	D	30
ELAEOL	Elaeis	oleifera	Arecaceae	M	40	M	5
ENTESC	Enterolobium	schomburgkii	Fabaceae:Mimos.	T	40	B	25
ERY1CO	Erythrina	costaricensis	Fabaceae:Papil.	U	5	B	7
ERY2MA	Erythroxylum	macrophyllum	Erythroxylaceae	M	4	B	6
ERY2PA	Erythroxylum	panamense	Erythroxylaceae	U	1	B	3
EUGECO	Eugenia	coloradoensis	Myrtaceae	T	30	B	15
EUGEGA	Eugenia	galalonensis	Myrtaceae	U	4	B	6
EUGENE	Eugenia	nesiotica	Myrtaceae	M	10	B	15
EUGEOE	Eugenia	oerstediana	Myrtaceae	M	20	B	15
FARAOC	Faramea	occidentalis	Rubiaceae	U	5	B	4
FICUBU	Ficus	bullenei	Moraceae	T	-1	M	-1
FICUC1	Ficus	colubrinae	Moraceae	T	-1	M	-1
FICUC2	Ficus	costaricana	Moraceae	T	30	M	30
FICUCI	Ficus	citrifolia	Moraceae	T	-1	M	-1
